theta,h
7.261973021865854028e-01,5.061168529954960249e-01
7.419841998428154950e-01,5.060891909305879066e-01
7.577710974990455872e-01,5.060615063679451131e-01
7.735579951552757905e-01,5.060332708531077861e-01
7.893448928115058827e-01,5.060048234382411581e-01
8.051317904677359749e-01,5.059765588697546779e-01
8.209186881239660671e-01,5.059482175019717198e-01
8.367055857801962704e-01,5.059197347918381604e-01
8.524924834364263626e-01,5.058918610483632561e-01
8.682793810926564548e-01,5.058647099682753723e-01
8.840662787488865471e-01,5.058372783090850922e-01
8.998531764051166393e-01,5.058101530374852217e-01
9.156400740613468425e-01,5.057835092312005232e-01
9.314269717175769348e-01,5.057576398985713650e-01
9.472138693738070270e-01,5.057326081352025993e-01
9.630007670300371192e-01,5.057087813230848328e-01
9.787876646862673224e-01,5.056854087481341686e-01
9.945745623424974147e-01,5.056623623269699275e-01
1.010361459998727396e+00,5.056401475180218874e-01
1.026148357654957488e+00,5.056184029573120853e-01
1.041935255311187580e+00,5.055974656219756058e-01
1.057722152967417673e+00,5.055773281762240279e-01
1.073509050623647765e+00,5.055582529767085331e-01
1.089295948279878079e+00,5.055398487075696279e-01
1.105082845936108171e+00,5.055222575485578407e-01
1.120869743592338263e+00,5.055056816150091947e-01
1.136656641248568356e+00,5.054893536743758631e-01
1.152443538904798448e+00,5.054734692788429573e-01
1.168230436561028540e+00,5.054574942511174118e-01
1.184017334217258632e+00,5.054419714326136015e-01
1.199804231873488725e+00,5.054268150994479791e-01
1.215591129529718817e+00,5.054130716687388336e-01
1.231378027185949131e+00,5.053999371355692993e-01
1.247164924842179223e+00,5.053871144976490593e-01
1.262951822498409316e+00,5.053739457134643898e-01
1.278738720154639408e+00,5.053613477846546909e-01
1.294525617810869500e+00,5.053488990791190627e-01
1.310312515467099592e+00,5.053368929958899081e-01
1.326099413123329684e+00,5.053256619958416129e-01
1.341886310779559777e+00,5.053147521523169150e-01
1.357673208435789869e+00,5.053035956759639458e-01
1.373460106092020183e+00,5.052936788812874003e-01
1.389247003748250275e+00,5.052847043600705579e-01
1.405033901404480368e+00,5.052763598992554561e-01
1.420820799060710460e+00,5.052688484861240781e-01
1.436607696716940552e+00,5.052613605845533984e-01
1.452394594373170644e+00,5.052545280004862027e-01
1.468181492029400736e+00,5.052485293905293329e-01
1.483968389685630829e+00,5.052432108979435510e-01
1.499755287341860921e+00,5.052385231265715815e-01
1.515542184998091013e+00,5.052344328242832638e-01
1.531329082654321327e+00,5.052304815768984270e-01
1.547115980310551420e+00,5.052274530150669962e-01
1.562902877966781512e+00,5.052245507742865183e-01
1.578689775623011604e+00,5.052220849904185407e-01
1.594476673279241696e+00,5.052202642046473846e-01
1.610263570935471789e+00,5.052191970132169363e-01
1.626050468591701881e+00,5.052190430254470677e-01
1.641837366247931973e+00,5.052194870748368816e-01
1.657624263904162065e+00,5.052210266141161643e-01
1.673411161560392379e+00,5.052236184993916801e-01
1.689198059216622472e+00,5.052269123516399674e-01
1.704984956872852564e+00,5.052310439148195442e-01
1.720771854529082656e+00,5.052360198219690846e-01
1.736558752185312748e+00,5.052413068818221165e-01
1.752345649841542841e+00,5.052470743362107441e-01
1.768132547497772933e+00,5.052533322243818459e-01
1.783919445154003025e+00,5.052595990792345670e-01
1.799706342810233117e+00,5.052663704973253678e-01
1.815493240466463432e+00,5.052738567301426897e-01
1.831280138122693524e+00,5.052817379560684552e-01
1.847067035778923616e+00,5.052900199410087501e-01
1.862853933435153708e+00,5.052989494628485900e-01
1.878640831091383800e+00,5.053090494831237178e-01
1.894427728747613893e+00,5.053202523042428229e-01
1.910214626403843985e+00,5.053325248128820446e-01
1.926001524060074077e+00,5.053451937715215392e-01
1.941788421716304169e+00,5.053585155943531859e-01
1.957575319372534484e+00,5.053720811132375035e-01
1.973362217028764576e+00,5.053869529691051854e-01
1.989149114684994668e+00,5.054023039199716516e-01
2.004936012341224760e+00,5.054179589219077728e-01
2.020722909997454853e+00,5.054342792699721976e-01
2.036509807653684945e+00,5.054509690667371435e-01
2.052296705309915037e+00,5.054682331205618828e-01
2.068083602966145129e+00,5.054857620382042782e-01
2.083870500622375221e+00,5.055037442022312089e-01
2.099657398278605314e+00,5.055224278505603408e-01
2.115444295934835406e+00,5.055414968779350371e-01
2.131231193591065498e+00,5.055612056276900246e-01
2.147018091247295590e+00,5.055819084383453843e-01
2.162804988903525683e+00,5.056032285140011906e-01
2.178591886559756219e+00,5.056247929555269804e-01
2.194378784215986311e+00,5.056473149628581965e-01
2.210165681872216403e+00,5.056708694551906857e-01
2.225952579528446496e+00,5.056950729362584829e-01
2.241739477184676588e+00,5.057201518839337107e-01
2.257526374840906680e+00,5.057454858606456050e-01
2.273313272497136772e+00,5.057716059106165396e-01
2.289100170153366864e+00,5.057980252020425338e-01
2.304887067809596957e+00,5.058247328275207177e-01
2.320673965465827049e+00,5.058515141982469210e-01
2.336460863122057141e+00,5.058785444826154887e-01
2.352247760778287233e+00,5.059057915033053909e-01
2.368034658434517326e+00,5.059334649566641362e-01
2.383821556090747418e+00,5.059613765831931786e-01
2.399608453746977510e+00,5.059893356325559921e-01
2.415395351403207602e+00,5.060171880528776533e-01
2.431182249059437694e+00,5.060449756013604139e-01
2.446969146715667787e+00,5.060727438750791674e-01
2.462756044371898323e+00,5.061001662193300721e-01
2.478542942028128415e+00,5.061267483747401430e-01
2.494329839684358507e+00,5.061527884012788636e-01
2.510116737340588600e+00,5.061785624733057265e-01
2.525903634996818692e+00,5.062036716638913525e-01
2.541690532653048784e+00,5.062282855011817073e-01
2.557477430309278876e+00,5.062520402386845308e-01
2.573264327965508969e+00,5.062746536149587140e-01
2.589051225621739061e+00,5.062959195958557368e-01
2.604838123277969153e+00,5.063157563545417350e-01
2.620625020934199245e+00,5.063346457284482183e-01
2.636411918590429337e+00,5.063520774666011581e-01
2.652198816246659430e+00,5.063677526142749130e-01
2.667985713902889522e+00,5.063818955084432583e-01
2.683772611559119614e+00,5.063948727818698980e-01
2.699559509215349706e+00,5.064067954266089355e-01
2.715346406871579799e+00,5.064177553486957084e-01
2.731133304527809891e+00,5.064274929740384401e-01
2.746920202184040427e+00,5.064366635404790040e-01
2.762707099840270519e+00,5.064443834914440501e-01
2.778493997496500612e+00,5.064515504812910907e-01
2.794280895152730704e+00,5.064582451232509941e-01
2.810067792808960796e+00,5.064649879095811658e-01
2.825854690465190888e+00,5.064704110089058853e-01
2.841641588121420980e+00,5.064754274394965838e-01
2.857428485777651073e+00,5.064801896241579726e-01
2.873215383433881165e+00,5.064847367737900230e-01
2.889002281090111257e+00,5.064888102995065422e-01
2.904789178746341349e+00,5.064924097574172723e-01
2.920576076402571442e+00,5.064949624419372576e-01
2.936362974058801534e+00,5.064971038481114185e-01
2.952149871715031626e+00,5.064989691344643497e-01
2.967936769371261718e+00,5.065009379799594313e-01
2.983723667027491810e+00,5.065024225344390008e-01
2.999510564683721903e+00,5.065039268599698108e-01
3.015297462339951995e+00,5.065056251446884428e-01
3.031084359996182087e+00,5.065077520415501855e-01
3.046871257652412623e+00,5.065097148131947336e-01
3.062658155308642716e+00,5.065112649615008955e-01
3.078445052964872808e+00,5.065125740763566364e-01
3.094231950621102900e+00,5.065134033230458410e-01
3.110018848277332992e+00,5.065136386175631555e-01
3.125805745933563085e+00,5.065140932889972136e-01
3.141592643589793177e+00,5.065141512693225323e-01
