theta,h
1.000000000000000021e-08,7.999999999999998224e-01
1.578690765623011819e-02,7.998006850832637404e-01
3.157380531246023470e-02,7.992035353656143926e-01
4.736070296869034774e-02,7.982109312609622087e-01
6.314760062492046078e-02,7.968268295803857537e-01
7.893449828115058076e-02,7.950567477591217180e-01
9.472139593738068686e-02,7.929077418624503881e-01
1.105082935936108068e-01,7.903883784581497984e-01
1.262951912498409268e-01,7.875087004676442071e-01
1.420820889060710468e-01,7.842801871319735607e-01
1.578689865623011668e-01,7.807157082521729574e-01
1.736558842185312868e-01,7.768294728864697518e-01
1.894427818747613790e-01,7.726369727088111539e-01
2.052296795309914990e-01,7.681549202545079336e-01
2.210165771872216189e-01,7.634011822991677576e-01
2.368034748434517389e-01,7.583947086364863921e-01
2.525903724996818589e-01,7.531554565388134392e-01
2.683772701559119511e-01,7.477043112016110715e-01
2.841641678121420989e-01,7.420630024889389720e-01
2.999510654683721911e-01,7.362540183118448933e-01
3.157379631246023388e-01,7.303005149849539634e-01
3.315248607808324310e-01,7.242262249186075529e-01
3.473117584370625788e-01,7.180553620145164739e-01
3.630986560932926710e-01,7.118125251420455157e-01
3.788855537495227632e-01,7.055226000799070807e-01
3.946724514057529110e-01,6.992106603141471366e-01
4.104593490619830032e-01,6.929018670878774877e-01
4.262462467182131509e-01,6.866213691011806564e-01
4.420331443744432431e-01,6.803942022610152129e-01
4.578200420306733909e-01,6.742451898807488853e-01
4.736069396869034831e-01,6.681988437271502157e-01
4.893938373431336308e-01,6.622792663092975651e-01
5.051807349993637786e-01,6.565100547989097812e-01
5.209676326555938708e-01,6.509142069650974971e-01
5.367545303118239630e-01,6.455140294985117766e-01
5.525414279680541663e-01,6.403310490903322272e-01
5.683283256242842585e-01,6.353859266205630352e-01
5.841152232805143507e-01,6.306983747977050747e-01
5.999021209367444429e-01,6.262870795781190214e-01
6.156890185929746462e-01,6.221696256783224577e-01
6.314759162492047384e-01,6.183624264771527823e-01
6.472628139054348306e-01,6.148806585872248487e-01
6.630497115616649229e-01,6.117382013565029197e-01
6.788366092178950151e-01,6.089475815411480308e-01
6.946235068741252183e-01,6.065199233701948911e-01
7.104104045303553105e-01,6.044649042011116524e-01
7.261973021865854028e-01,6.027907159430150319e-01
7.419841998428154950e-01,6.015040324013183337e-01
7.577710974990455872e-01,6.006099826739856873e-01
7.735579951552757905e-01,6.001121307054422260e-01
7.893448928115058827e-01,6.000124610796481184e-01
8.051317904677359749e-01,6.003113711089633764e-01
8.209186881239660671e-01,6.010076692503448781e-01
8.367055857801962704e-01,6.020985798551865553e-01
8.524924834364263626e-01,6.035797542338681154e-01
8.682793810926564548e-01,6.054452879909084650e-01
8.840662787488865471e-01,6.076877445616161166e-01
8.998531764051166393e-01,6.102981848564188461e-01
9.156400740613468425e-01,6.132662028946949118e-01
9.314269717175769348e-01,6.165799672860652336e-01
9.472138693738070270e-01,6.202262683937838084e-01
9.630007670300371192e-01,6.241905709922254131e-01
9.787876646862673224e-01,6.284570722085571770e-01
9.945745623424974147e-01,6.330087645176242228e-01
1.010361459998727396e+00,6.378275035389340264e-01
1.026148357654957488e+00,6.428940803654774605e-01
1.041935255311187580e+00,6.481882981360667095e-01
1.057722152967417673e+00,6.536890525459464474e-01
1.073509050623647765e+00,6.593744159747434441e-01
1.089295948279878079e+00,6.652217248963914198e-01
1.105082845936108171e+00,6.712076702225930891e-01
1.120869743592338263e+00,6.773083902196825878e-01
1.136656641248568356e+00,6.834995656284941212e-01
1.152443538904798448e+00,6.897565166080613652e-01
1.168230436561028540e+00,6.960543011167019678e-01
1.184017334217258632e+00,7.023678143383107475e-01
1.199804231873488725e+00,7.086718887575196302e-01
1.215591129529718817e+00,7.149413944847951008e-01
1.231378027185949131e+00,7.211513394315482994e-01
1.247164924842179223e+00,7.272769689359297463e-01
1.262951822498409316e+00,7.332938644421718166e-01
1.278738720154639408e+00,7.391780408401140701e-01
1.294525617810869500e+00,7.449060420768860435e-01
1.310312515467099592e+00,7.504550346596134958e-01
1.326099413123329684e+00,7.558028986764186996e-01
1.341886310779559777e+00,7.609283159728752466e-01
1.357673208435789869e+00,7.658108551324251945e-01
1.373460106092020183e+00,7.704310529219968728e-01
1.389247003748250275e+00,7.747704918781601613e-01
1.405033901404480368e+00,7.788118737245381951e-01
1.420820799060710460e+00,7.825390883278091625e-01
1.436607696716940552e+00,7.859372779174236268e-01
1.452394594373170644e+00,7.889928963130352635e-01
1.468181492029400736e+00,7.916937629235480944e-01
1.483968389685630829e+00,7.940291113025255143e-01
1.499755287341860921e+00,7.959896320664032743e-01
1.515542184998091013e+00,7.975675100044226085e-01
1.531329082654321327e+00,7.987564552323527245e-01
1.547115980310551420e+00,7.995517282658139990e-01
1.562902877966781512e+00,7.999501589132518298e-01
1.578689775623011604e+00,7.999501589132518298e-01
1.594476673279241696e+00,7.995517282658139990e-01
1.610263570935471789e+00,7.987564552323527245e-01
1.626050468591701881e+00,7.975675100044226085e-01
1.641837366247931973e+00,7.959896320664032743e-01
1.657624263904162065e+00,7.940291113025255143e-01
1.673411161560392379e+00,7.916937629235480944e-01
1.689198059216622472e+00,7.889928963130352635e-01
1.704984956872852564e+00,7.859372779174238488e-01
1.720771854529082656e+00,7.825390883278091625e-01
1.736558752185312748e+00,7.788118737245381951e-01
1.752345649841542841e+00,7.747704918781601613e-01
1.768132547497772933e+00,7.704310529219968728e-01
1.783919445154003025e+00,7.658108551324254165e-01
1.799706342810233117e+00,7.609283159728754686e-01
1.815493240466463432e+00,7.558028986764186996e-01
1.831280138122693524e+00,7.504550346596134958e-01
1.847067035778923616e+00,7.449060420768860435e-01
1.862853933435153708e+00,7.391780408401140701e-01
1.878640831091383800e+00,7.332938644421720387e-01
1.894427728747613893e+00,7.272769689359297463e-01
1.910214626403843985e+00,7.211513394315482994e-01
1.926001524060074077e+00,7.149413944847953228e-01
1.941788421716304169e+00,7.086718887575198522e-01
1.957575319372534484e+00,7.023678143383109695e-01
1.973362217028764576e+00,6.960543011167020788e-01
1.989149114684994668e+00,6.897565166080614762e-01
2.004936012341224760e+00,6.834995656284941212e-01
2.020722909997454853e+00,6.773083902196825878e-01
2.036509807653684945e+00,6.712076702225930891e-01
2.052296705309915037e+00,6.652217248963914198e-01
2.068083602966145129e+00,6.593744159747436662e-01
2.083870500622375221e+00,6.536890525459466694e-01
2.099657398278605314e+00,6.481882981360667095e-01
2.115444295934835406e+00,6.428940803654776825e-01
2.131231193591065498e+00,6.378275035389340264e-01
2.147018091247295590e+00,6.330087645176243338e-01
2.162804988903525683e+00,6.284570722085571770e-01
2.178591886559756219e+00,6.241905709922254131e-01
2.194378784215986311e+00,6.202262683937838084e-01
2.210165681872216403e+00,6.165799672860652336e-01
2.225952579528446496e+00,6.132662028946949118e-01
2.241739477184676588e+00,6.102981848564188461e-01
2.257526374840906680e+00,6.076877445616161166e-01
2.273313272497136772e+00,6.054452879909084650e-01
2.289100170153366864e+00,6.035797542338681154e-01
2.304887067809596957e+00,6.020985798551865553e-01
2.320673965465827049e+00,6.010076692503449891e-01
2.336460863122057141e+00,6.003113711089633764e-01
2.352247760778287233e+00,6.000124610796481184e-01
2.368034658434517326e+00,6.001121307054422260e-01
2.383821556090747418e+00,6.006099826739856873e-01
2.399608453746977510e+00,6.015040324013183337e-01
2.415395351403207602e+00,6.027907159430150319e-01
2.431182249059437694e+00,6.044649042011115414e-01
2.446969146715667787e+00,6.065199233701947801e-01
2.462756044371898323e+00,6.089475815411480308e-01
2.478542942028128415e+00,6.117382013565029197e-01
2.494329839684358507e+00,6.148806585872248487e-01
2.510116737340588600e+00,6.183624264771527823e-01
2.525903634996818692e+00,6.221696256783224577e-01
2.541690532653048784e+00,6.262870795781190214e-01
2.557477430309278876e+00,6.306983747977050747e-01
2.573264327965508969e+00,6.353859266205630352e-01
2.589051225621739061e+00,6.403310490903322272e-01
2.604838123277969153e+00,6.455140294985116656e-01
2.620625020934199245e+00,6.509142069650974971e-01
2.636411918590429337e+00,6.565100547989097812e-01
2.652198816246659430e+00,6.622792663092975651e-01
2.667985713902889522e+00,6.681988437271499937e-01
2.683772611559119614e+00,6.742451898807487742e-01
2.699559509215349706e+00,6.803942022610152129e-01
2.715346406871579799e+00,6.866213691011805453e-01
2.731133304527809891e+00,6.929018670878774877e-01
2.746920202184040427e+00,6.992106603141471366e-01
2.762707099840270519e+00,7.055226000799070807e-01
2.778493997496500612e+00,7.118125251420455157e-01
2.794280895152730704e+00,7.180553620145164739e-01
2.810067792808960796e+00,7.242262249186075529e-01
2.825854690465190888e+00,7.303005149849539634e-01
2.841641588121420980e+00,7.362540183118448933e-01
2.857428485777651073e+00,7.420630024889389720e-01
2.873215383433881165e+00,7.477043112016108495e-01
2.889002281090111257e+00,7.531554565388134392e-01
2.904789178746341349e+00,7.583947086364863921e-01
2.920576076402571442e+00,7.634011822991677576e-01
2.936362974058801534e+00,7.681549202545079336e-01
2.952149871715031626e+00,7.726369727088111539e-01
2.967936769371261718e+00,7.768294728864697518e-01
2.983723667027491810e+00,7.807157082521729574e-01
2.999510564683721903e+00,7.842801871319735607e-01
3.015297462339951995e+00,7.875087004676439850e-01
3.031084359996182087e+00,7.903883784581497984e-01
3.046871257652412623e+00,7.929077418624503881e-01
3.062658155308642716e+00,7.950567477591217180e-01
3.078445052964872808e+00,7.968268295803857537e-01
3.094231950621102900e+00,7.982109312609622087e-01
3.110018848277332992e+00,7.992035353656143926e-01
3.125805745933563085e+00,7.998006850832637404e-01
3.141592643589793177e+00,7.999999999999998224e-01
