theta,h
1.000000000000000021e-08,6.049184460014285225e-01
1.578690765623011819e-02,6.049204775857520699e-01
3.157380531246023470e-02,6.049368097749462381e-01
4.736070296869034774e-02,6.049649815383513207e-01
6.314760062492046078e-02,6.049987543150134872e-01
7.893449828115058076e-02,6.050378011694147462e-01
9.472139593738068686e-02,6.050751927059375701e-01
1.105082935936108068e-01,6.051088561247668363e-01
1.262951912498409268e-01,6.051318714186977310e-01
1.420820889060710468e-01,6.051394019858513662e-01
1.578689865623011668e-01,6.051244075790569443e-01
1.736558842185312868e-01,6.050811034621129680e-01
1.894427818747613790e-01,6.050039117736455418e-01
2.052296795309914990e-01,6.048862159701184904e-01
2.210165771872216189e-01,6.047226001121985828e-01
2.368034748434517389e-01,6.045069236599831530e-01
2.525903724996818589e-01,6.042370268314104509e-01
2.683772701559119511e-01,6.039085128889152276e-01
2.841641678121420989e-01,6.035171389351559057e-01
2.999510654683721911e-01,6.030592559467091718e-01
3.157379631246023388e-01,6.025347647986939448e-01
3.315248607808324310e-01,6.019423914537156417e-01
3.473117584370625788e-01,6.012826420626835588e-01
3.630986560932926710e-01,6.005583663162853414e-01
3.788855537495227632e-01,5.997711627136176338e-01
3.946724514057529110e-01,5.989234509778083027e-01
4.104593490619830032e-01,5.980179988836559213e-01
4.262462467182131509e-01,5.970590726869706710e-01
4.420331443744432431e-01,5.960523379989239867e-01
4.578200420306733909e-01,5.950039221987927229e-01
4.736069396869034831e-01,5.939200954306957936e-01
4.893938373431336308e-01,5.928081219985924522e-01
5.051807349993637786e-01,5.916741337515056820e-01
5.209676326555938708e-01,5.905262541166769186e-01
5.367545303118239630e-01,5.893707326263285529e-01
5.525414279680541663e-01,5.882130200867501379e-01
5.683283256242842585e-01,5.870582843661232841e-01
5.841152232805143507e-01,5.859146814329713182e-01
5.999021209367444429e-01,5.847873304716766363e-01
6.156890185929746462e-01,5.836803990327712466e-01
6.314759162492047384e-01,5.825981576361036751e-01
6.472628139054348306e-01,5.815452272254600929e-01
6.630497115616649229e-01,5.805243529260372126e-01
6.788366092178950151e-01,5.795376519568212759e-01
6.946235068741252183e-01,5.785864388117889501e-01
7.104104045303553105e-01,5.776722197059797059e-01
7.261973021865854028e-01,5.767947755444382540e-01
7.419841998428154950e-01,5.759547282345915953e-01
7.577710974990455872e-01,5.751496367055869419e-01
7.735579951552757905e-01,5.743787584514162825e-01
7.893448928115058827e-01,5.736401670514390538e-01
8.051317904677359749e-01,5.729313677577342334e-01
8.209186881239660671e-01,5.722515160449521687e-01
8.367055857801962704e-01,5.715990319083846805e-01
8.524924834364263626e-01,5.709716660176331615e-01
8.682793810926564548e-01,5.703677731179417343e-01
8.840662787488865471e-01,5.697856504560273594e-01
8.998531764051166393e-01,5.692248593775492971e-01
9.156400740613468425e-01,5.686841623128208179e-01
9.314269717175769348e-01,5.681637580335783255e-01
9.472138693738070270e-01,5.676624033809545278e-01
9.630007670300371192e-01,5.671794957432827466e-01
9.787876646862673224e-01,5.667137568917157697e-01
9.945745623424974147e-01,5.662665418758461300e-01
1.010361459998727396e+00,5.658379428691056034e-01
1.026148357654957488e+00,5.654273839950224589e-01
1.041935255311187580e+00,5.650346876189049627e-01
1.057722152967417673e+00,5.646603901215989652e-01
1.073509050623647765e+00,5.643044924450678623e-01
1.089295948279878079e+00,5.639661580333261703e-01
1.105082845936108171e+00,5.636452133261150577e-01
1.120869743592338263e+00,5.633417171825005898e-01
1.136656641248568356e+00,5.630564049704442908e-01
1.152443538904798448e+00,5.627892043436346636e-01
1.168230436561028540e+00,5.625386930981883804e-01
1.184017334217258632e+00,5.623050925088495244e-01
1.199804231873488725e+00,5.620872464717462380e-01
1.215591129529718817e+00,5.618838544804212187e-01
1.231378027185949131e+00,5.616945811899406449e-01
1.247164924842179223e+00,5.615187087215971484e-01
1.262951822498409316e+00,5.613552664191607811e-01
1.278738720154639408e+00,5.612030962452667637e-01
1.294525617810869500e+00,5.610620196101255841e-01
1.310312515467099592e+00,5.609313937206428236e-01
1.326099413123329684e+00,5.608106515127029290e-01
1.341886310779559777e+00,5.606978223488383595e-01
1.357673208435789869e+00,5.605927740990787056e-01
1.373460106092020183e+00,5.604952166146328629e-01
1.389247003748250275e+00,5.604033338968791300e-01
1.405033901404480368e+00,5.603206792842341244e-01
1.420820799060710460e+00,5.602458536914864951e-01
1.436607696716940552e+00,5.601773345184350994e-01
1.452394594373170644e+00,5.601169461533017646e-01
