theta,h
8.051317904677359749e-01,5.000000062109468679e-01
8.209186881239660671e-01,5.000000060896505616e-01
8.367055857801962704e-01,5.000000060334744978e-01
8.524924834364263626e-01,5.000000059870647329e-01
8.682793810926564548e-01,5.000000059767809590e-01
8.840662787488865471e-01,5.000000058672401382e-01
8.998531764051166393e-01,5.000000059342591952e-01
9.156400740613468425e-01,5.000000061563614207e-01
9.314269717175769348e-01,5.000000061111371519e-01
9.472138693738070270e-01,5.000000058512708012e-01
9.630007670300371192e-01,5.000000055317639358e-01
9.787876646862673224e-01,5.000000051310869997e-01
9.945745623424974147e-01,5.000000045161425710e-01
1.010361459998727396e+00,5.000000037628408167e-01
1.026148357654957488e+00,5.000000031802749323e-01
1.041935255311187580e+00,5.000000024028081747e-01
1.057722152967417673e+00,5.000000014650455293e-01
1.073509050623647765e+00,5.000000005621486610e-01
1.089295948279878079e+00,4.999999997770080973e-01
1.105082845936108171e+00,4.999999990401623462e-01
1.120869743592338263e+00,4.999999983238671564e-01
1.136656641248568356e+00,4.999999977002552720e-01
1.152443538904798448e+00,4.999999971480014183e-01
1.168230436561028540e+00,4.999999966423063769e-01
1.184017334217258632e+00,4.999999962022586009e-01
1.199804231873488725e+00,4.999999959025682172e-01
1.215591129529718817e+00,4.999999956890014419e-01
1.231378027185949131e+00,4.999999954942810354e-01
1.247164924842179223e+00,4.999999953016922571e-01
1.262951822498409316e+00,4.999999953777612971e-01
1.278738720154639408e+00,4.999999955176109290e-01
1.294525617810869500e+00,4.999999957467965994e-01
1.310312515467099592e+00,4.999999957894806224e-01
1.326099413123329684e+00,4.999999959031893315e-01
1.341886310779559777e+00,4.999999957057698619e-01
1.357673208435789869e+00,4.999999954674964053e-01
1.373460106092020183e+00,4.999999953555709364e-01
1.389247003748250275e+00,4.999999954610896413e-01
1.405033901404480368e+00,4.999999954627968313e-01
1.420820799060710460e+00,4.999999956359280073e-01
1.436607696716940552e+00,4.999999960519705966e-01
1.452394594373170644e+00,4.999999965579316474e-01
1.468181492029400736e+00,4.999999969619995377e-01
1.483968389685630829e+00,4.999999974446762141e-01
1.499755287341860921e+00,4.999999979475052703e-01
1.515542184998091013e+00,4.999999984908897743e-01
1.531329082654321327e+00,4.999999992048689834e-01
1.547115980310551420e+00,5.000000000812702128e-01
1.562902877966781512e+00,5.000000008103202553e-01
1.578689775623011604e+00,5.000000015808522269e-01
1.594476673279241696e+00,5.000000023741970612e-01
1.610263570935471789e+00,5.000000030541124074e-01
1.626050468591701881e+00,5.000000036314394825e-01
1.641837366247931973e+00,5.000000043150697460e-01
1.657624263904162065e+00,5.000000048655313112e-01
1.673411161560392379e+00,5.000000055006911248e-01
1.689198059216622472e+00,5.000000056982131236e-01
1.704984956872852564e+00,5.000000057101910977e-01
1.720771854529082656e+00,5.000000057078217708e-01
1.736558752185312748e+00,5.000000057984271828e-01
1.752345649841542841e+00,5.000000058604447961e-01
1.768132547497772933e+00,5.000000057568685374e-01
1.783919445154003025e+00,5.000000055174282920e-01
1.799706342810233117e+00,5.000000053529801702e-01
1.815493240466463432e+00,5.000000052582899146e-01
1.831280138122693524e+00,5.000000053365160069e-01
1.847067035778923616e+00,5.000000053888163931e-01
1.862853933435153708e+00,5.000000053237398934e-01
1.878640831091383800e+00,5.000000051836435144e-01
1.894427728747613893e+00,5.000000050744255464e-01
1.910214626403843985e+00,5.000000048255529572e-01
1.926001524060074077e+00,5.000000043966259522e-01
1.941788421716304169e+00,5.000000039388654560e-01
1.957575319372534484e+00,5.000000035697895751e-01
1.973362217028764576e+00,5.000000030055655742e-01
1.989149114684994668e+00,5.000000025144246685e-01
2.004936012341224760e+00,5.000000020447618043e-01
2.020722909997454853e+00,5.000000015230476880e-01
2.036509807653684945e+00,5.000000013516486819e-01
2.052296705309915037e+00,5.000000011652219190e-01
2.068083602966145129e+00,5.000000008718679112e-01
2.083870500622375221e+00,5.000000004908472517e-01
2.099657398278605314e+00,5.000000000779172282e-01
2.115444295934835406e+00,4.999999997807619834e-01
2.131231193591065498e+00,4.999999994922542657e-01
2.147018091247295590e+00,4.999999993196032610e-01
2.162804988903525683e+00,4.999999991474950445e-01
2.178591886559756219e+00,4.999999988527487060e-01
2.194378784215986311e+00,4.999999987434734505e-01
2.210165681872216403e+00,4.999999986154781695e-01
2.225952579528446496e+00,4.999999986587448930e-01
