theta,h
2.052296705309915037e+00,5.000349693128597339e-01
2.068083602966145129e+00,5.000350745460586666e-01
2.083870500622375221e+00,5.000351570507549637e-01
2.099657398278605314e+00,5.000352114748704002e-01
2.115444295934835406e+00,5.000352736000656106e-01
2.131231193591065498e+00,5.000353135188277953e-01
2.147018091247295590e+00,5.000353366274992162e-01
2.162804988903525683e+00,5.000353858122114081e-01
2.178591886559756219e+00,5.000354430966789110e-01
2.194378784215986311e+00,5.000354878605628439e-01
2.210165681872216403e+00,5.000355315881487295e-01
2.225952579528446496e+00,5.000355491641472749e-01
2.241739477184676588e+00,5.000355582166841062e-01
2.257526374840906680e+00,5.000356211833412168e-01
2.273313272497136772e+00,5.000356989348858638e-01
2.289100170153366864e+00,5.000357849401897425e-01
2.304887067809596957e+00,5.000358490307196258e-01
2.320673965465827049e+00,5.000358829294452301e-01
2.336460863122057141e+00,5.000359025029017523e-01
2.352247760778287233e+00,5.000359292138581990e-01
2.368034658434517326e+00,5.000359516770382928e-01
2.383821556090747418e+00,5.000359770837901063e-01
2.399608453746977510e+00,5.000360217083850145e-01
2.415395351403207602e+00,5.000360325373440773e-01
2.431182249059437694e+00,5.000360328076768335e-01
2.446969146715667787e+00,5.000360469714311140e-01
2.462756044371898323e+00,5.000360701445887290e-01
2.478542942028128415e+00,5.000360917783170933e-01
2.494329839684358507e+00,5.000361036092693112e-01
2.510116737340588600e+00,5.000360998796878897e-01
2.525903634996818692e+00,5.000361087092597412e-01
2.541690532653048784e+00,5.000360964802944563e-01
2.557477430309278876e+00,5.000360979029475628e-01
2.573264327965508969e+00,5.000360907903634855e-01
2.589051225621739061e+00,5.000361339347459966e-01
2.604838123277969153e+00,5.000361717317017840e-01
2.620625020934199245e+00,5.000361808065382219e-01
2.636411918590429337e+00,5.000361739060265043e-01
2.652198816246659430e+00,5.000361593655705539e-01
2.667985713902889522e+00,5.000361509521608072e-01
2.683772611559119614e+00,5.000361539770437069e-01
2.699559509215349706e+00,5.000361565805182540e-01
2.715346406871579799e+00,5.000361506363776298e-01
2.731133304527809891e+00,5.000361495168175185e-01
2.746920202184040427e+00,5.000361594382742858e-01
2.762707099840270519e+00,5.000361977919874912e-01
2.778493997496500612e+00,5.000362483671502156e-01
2.794280895152730704e+00,5.000363227690900469e-01
2.810067792808960796e+00,5.000363633999586055e-01
2.825854690465190888e+00,5.000363780605633357e-01
2.841641588121420980e+00,5.000364147339674270e-01
2.857428485777651073e+00,5.000364473042175906e-01
2.873215383433881165e+00,5.000364807794905886e-01
2.889002281090111257e+00,5.000365039810423795e-01
2.904789178746341349e+00,5.000365083715304637e-01
2.920576076402571442e+00,5.000365073593144860e-01
2.936362974058801534e+00,5.000364785511918209e-01
2.952149871715031626e+00,5.000364554659501026e-01
2.967936769371261718e+00,5.000364518545499237e-01
2.983723667027491810e+00,5.000364332856963578e-01
2.999510564683721903e+00,5.000364188682027144e-01
3.015297462339951995e+00,5.000363838619563683e-01
3.031084359996182087e+00,5.000363212606261376e-01
3.046871257652412623e+00,5.000362760756328351e-01
3.062658155308642716e+00,5.000362751406620676e-01
3.078445052964872808e+00,5.000362759119539868e-01
3.094231950621102900e+00,5.000363030236537609e-01
3.110018848277332992e+00,5.000363137369845390e-01
3.125805745933563085e+00,5.000363216331046301e-01
3.141592643589793177e+00,5.000363225875339435e-01
