theta,h
8.209186881239660671e-01,4.999999999897769554e-01
8.367055857801962704e-01,4.999999999897772884e-01
8.524924834364263626e-01,4.999999999897931091e-01
8.682793810926564548e-01,4.999999999898005476e-01
8.840662787488865471e-01,4.999999999897983827e-01
8.998531764051166393e-01,4.999999999898067649e-01
9.156400740613468425e-01,4.999999999898063208e-01
9.314269717175769348e-01,4.999999999898137593e-01
9.472138693738070270e-01,4.999999999898230296e-01
9.630007670300371192e-01,4.999999999898281922e-01
9.787876646862673224e-01,4.999999999898302461e-01
9.945745623424974147e-01,4.999999999898468994e-01
1.010361459998727396e+00,4.999999999898824821e-01
1.026148357654957488e+00,4.999999999899181202e-01
1.041935255311187580e+00,4.999999999899448211e-01
1.057722152967417673e+00,4.999999999899610859e-01
1.073509050623647765e+00,4.999999999899631398e-01
1.089295948279878079e+00,4.999999999899795711e-01
1.105082845936108171e+00,4.999999999899882863e-01
1.120869743592338263e+00,4.999999999899930603e-01
1.136656641248568356e+00,4.999999999900036074e-01
1.152443538904798448e+00,4.999999999900106018e-01
1.168230436561028540e+00,4.999999999900355818e-01
1.184017334217258632e+00,4.999999999900496817e-01
1.199804231873488725e+00,4.999999999900580638e-01
1.215591129529718817e+00,4.999999999900778258e-01
1.231378027185949131e+00,4.999999999900979764e-01
1.247164924842179223e+00,4.999999999901357794e-01
1.262951822498409316e+00,4.999999999901838521e-01
1.278738720154639408e+00,4.999999999902238756e-01
1.294525617810869500e+00,4.999999999902531855e-01
1.310312515467099592e+00,4.999999999902953740e-01
1.326099413123329684e+00,4.999999999903275150e-01
1.341886310779559777e+00,4.999999999903393388e-01
1.357673208435789869e+00,4.999999999903278480e-01
1.373460106092020183e+00,4.999999999903352310e-01
1.389247003748250275e+00,4.999999999903639858e-01
1.405033901404480368e+00,4.999999999904149450e-01
1.420820799060710460e+00,4.999999999904783943e-01
1.436607696716940552e+00,4.999999999905303527e-01
1.452394594373170644e+00,4.999999999905815895e-01
1.468181492029400736e+00,4.999999999906526993e-01
1.483968389685630829e+00,4.999999999907323023e-01
1.499755287341860921e+00,4.999999999908191772e-01
1.515542184998091013e+00,4.999999999909014448e-01
1.531329082654321327e+00,4.999999999909915394e-01
1.547115980310551420e+00,4.999999999910909598e-01
1.562902877966781512e+00,4.999999999912109749e-01
1.578689775623011604e+00,4.999999999913392612e-01
1.594476673279241696e+00,4.999999999914573889e-01
1.610263570935471789e+00,4.999999999915774596e-01
1.626050468591701881e+00,4.999999999917117410e-01
1.641837366247931973e+00,4.999999999918479654e-01
1.657624263904162065e+00,4.999999999919729210e-01
1.673411161560392379e+00,4.999999999920852201e-01
1.689198059216622472e+00,4.999999999921739269e-01
